Date,Description,Amount
2026-02-01,Walmart Grocery Shopping,-2500
2026-02-02,Salary Credit,50000
2026-02-03,Uber Ride to Office,-150
2026-02-04,Starbucks Coffee,-350
2026-02-05,Amazon Online Shopping,-1200
2026-02-06,Amazon Refund,1200
2026-02-07,Electricity Bill Payment,-800
2026-02-08,Netflix Subscription,-199
2026-02-09,DMart Grocery,-1800
2026-02-10,Petrol - Shell Station,-2000
2026-02-11,Restaurant Dinner,-1500
2026-02-12,Walmart Return,450
2026-02-13,Pharmacy - Medicine,-450
2026-02-14,Mobile Recharge,-299
2026-02-15,Freelance Income,15000
2026-02-16,Movie Tickets,-600
2026-02-17,Gym Membership,-1000

